koid	op
KO04087	dapE,ypfN
KO04086	yffB,dapE,ypfN
KO04089	gcvR,bcp
KO04735	ykfF,yafX,ykfG,ykfH,yafW,ykfI
KO04731	dinJ,yafQ
KO04956	ssuE,ssuA,ssuD,ssuC,ssuB
KO05736	aroK,aroB,damX,dam,rpe,gph,trpS
KO04558	ubiC,ubiA
KO04884	kdpF,kdpA,kdpB,kdpC
KO04554	yjbE,yjbF,yjbG,yjbH
KO06171	sfsA,dksA
KO06170	pth,ychF
KO03457	fdrA,ylbE,ylbF,ybcF
KO03455	ybbW,allB,ybbY,glxK
KO06174	umuD,umuC
KO03295	ftsQ,ftsA,ftsZ,lpxC
KO03294	murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03296	ftsZ,lpxC
KO03291	rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03290	mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03293	murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03292	ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03299	secA,mutT
KO03298	secM,secA,mutT
KO03679	hemA,prfA,prmC,ychQ
KO03673	dadA,dadX
KO03671	umuD,umuC
KO05858	yieP,hsrA
KO05857	ravA,viaA
KO05851	glmU,glmS
KO05850	pstS,pstC,pstA,pstB,phoU
KO05853	mnmG,rsmG
KO05852	atpI,atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC
KO05733	rpe,gph,trpS
KO06009	fecI,fecR,fecA
KO06008	fecB,fecC,fecD,fecE
KO06001	idnD,idnO,idnT
KO03708	ymiA,yciX
KO05926	malE,malF,malG
KO05459	hisS,yfgM,bamB
KO05452	uraA,hda
KO05456	guaB,guaA
KO05637	mqsR,mqsA,ygiS
KO05631	exbB,exbD
KO05638	ygiW,ygiV
KO05140	glsB,yneG
KO05147	stfQ,tfaQ
KO03857	ydiQ,ydiR,ydiS,ydiT
KO03856	ydiF,ydiO
KO03854	ydiN,ydiB
KO05702	aaeX,aaeA,aaeB
KO05704	rng,yhdP
KO05706	mreB,mreC,mreD
KO05826	yicJ,yicI
KO05536	ftsB,ispD,ispF,truD
KO04096	yfgH,yfgI
KO04094	ppk,ppx
KO04093	purM,purN
KO04722	metN,metI,metQ
KO04943	cydD,cydC
KO04896	modE,modF
KO04894	galE,galT,galK
KO04920	ybiV,ybiU
KO04548	aceB,aceA,aceK
KO04921	ybiY,ybiW
KO04542	hupA,yjaH
KO04253	ebgA,ebgC
KO04883	kdpD,kdpE
KO03443	glsA,ybaT
KO03445	fetA,fetB
KO03446	ybbA,ybbP
KO06169	potF,potG,potH,potI
KO04556	malK,lamB,malM
KO03280	kefF,kefC
KO04887	ybgD,ybgQ,ybgP,ybgO
KO03288	ilvI,ilvH
KO06109	srkA,dsbA
KO03669	ycgL,ycgM
KO03662	ycgZ,ymgA,ariR,ymgC
KO05848	bglH,yieL,yieK
KO05849	bglG,bglF,bglB
KO05843	yidB,yidA
KO05841	dgoR,dgoK,dgoA,dgoD,dgoT
KO05847	yieL,yieK
KO06014	sgcA,sgcE,sgcR
KO06015	sgcX,sgcB,sgcC,sgcQ
