koid	name	op	
KO04087	TU-1463	dapE,ypfN
KO04086	TU-1462	yffB,dapE,ypfN
KO04089	TU-1466	bcp,gcvR
KO04735	TU-2623	ykfH,ykfF,yafX,ykfI,ykfG,yafW
KO04731	TU-2616	dinJ,yafQ
KO04956	TU-2970	ssuB,ssuE,ssuA,ssuD,ssuC
KO05736	TU-4212	damX,aroB,gph,trpS,dam,rpe,aroK
KO04558	TU-2303	ubiA,ubiC
KO04884	TU-2858	kdpF,kdpA,kdpC,kdpB
KO04554	TU-2299	yjbF,yjbE,yjbH,yjbG
KO06171	TU-Exp-0624	sfsA,dksA
KO06170	TU-Exp-0605	ychF,pth
KO03457	TU-0383	ylbE,fdrA,ylbF,ybcF
KO03455	TU-0381	ybbW,ybbY,allB,glxK
KO06174	TU-Exp-0636	umuD,umuC
KO03295	TU-0071	ftsQ,ftsA,ftsZ,lpxC
KO03294	TU-0069	murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03296	TU-0072	ftsZ,lpxC
KO03291	TU-0062	ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03290	TU-0061	ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH,mraZ,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03293	TU-0067	ftsW,murD,mraY,murF,murE,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03292	TU-0064	ftsW,murD,mraY,murF,murE,ftsI,ftsL,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
KO03299	TU-0077	secA,mutT
KO03298	TU-0076	secA,mutT,secM
KO03679	TU-0799	prfA,hemA,ychQ,prmC
KO03673	TU-0784	dadA,dadX
KO03671	TU-0781	umuD,umuC
KO05858	TU-4411	yieP,hsrA
KO05857	TU-4410	ravA,viaA
KO05851	TU-4401	glmU,glmS
KO05850	TU-4400	pstB,pstC,phoU,pstS,pstA
KO05853	TU-4404	rsmG,mnmG
KO05852	TU-4403	atpA,atpF,atpE,atpC,atpH,atpG,atpI,atpD,atpB
KO05733	TU-4209	gph,trpS,rpe
