gene_name	gene_length	sgRNA_number_in_gene
NCgl0056	858	10
NCgl0032	813	10
NCgl0080	903	10
NCgl0053	294	10
NCgl0072	240	10
NCgl0034	690	10
NCgl0051	1371	10
NCgl0068	657	10
NCgl0050	957	10
NCgl0078	927	10
NCgl0039	273	10
NCgl0038	825	10
NCgl0077	561	10
NCgl0058	714	10
NCgl0071	1005	10
NCgl0070	432	10
NCgl0059	1656	10
NCgl0027	852	10
NCgl0031	762	10
NCgl0030	1026	10
NCgl0033	573	10
NCgl0025	1281	10
NCgl0035	999	10
NCgl0002	1185	10
NCgl0037	780	10
NCgl0036	957	10
NCgl0013	345	10
NCgl0012	2571	10
NCgl0011	249	10
NCgl0010	264	5
NCgl0017	873	10
NCgl0016	414	10
NCgl0015	897	10
NCgl0014	927	10
NCgl0019	372	10
NCgl0018	765	10
NCgl0054	594	10
NCgl0005	2055	10
NCgl0075	1248	10
NCgl0079	975	10
NCgl0020	996	10
NCgl0074	1452	10
NCgl0073	342	10
NCgl0069	915	10
NCgl0061	450	10
NCgl0076	309	10
NCgl0052	747	10
NCgl0081	834	10
NCgl0066	1470	10
NCgl0067	1656	10
NCgl0062	1299	10
NCgl0063	693	10
NCgl0060	1122	10
NCgl0057	843	10
NCgl0048	474	10
NCgl0049	1473	10
NCgl0064	1377	10
NCgl0065	387	10
NCgl0044	1356	10
NCgl0045	465	10
NCgl0046	867	10
NCgl0047	723	10
NCgl0040	1941	10
NCgl0041	1410	10
NCgl0042	1425	10
NCgl0043	1326	10
NCgl0026	957	10
NCgl0001	1575	10
NCgl0024	1692	10
NCgl0003	1185	10
NCgl0004	537	10
NCgl0023	438	10
NCgl0006	969	10
NCgl0007	606	10
NCgl0008	444	10
NCgl0009	1074	10
NCgl0055	258	10
NCgl0028	660	10
NCgl0029	984	10
