sgRNAID	sgRNA_position_in_gene	GCcontent
thrCb0004_53	0.041181041181	60.8695652174
thrCb0004_102	0.0792540792541	60.8695652174
thrCb0004_242	0.188034188034	69.5652173913
thrCb0004_356	0.276612276612	52.1739130435
thrCb0004_472	0.366744366744	52.1739130435
thrCb0004_736	0.571872571873	52.1739130435
thrCb0004_833	0.647241647242	65.2173913043
thrCb0004_928	0.721056721057	60.8695652174
thrCb0004_1064	0.826728826729	60.8695652174
thrCb0004_1241	0.964257964258	60.8695652174
yaaIb0013_75	0.185185185185	56.5217391304
yaaIb0013_139	0.343209876543	47.8260869565
yaaIb0013_176	0.434567901235	47.8260869565
yaaIb0013_227	0.56049382716	69.5652173913
yaaIb0013_228	0.562962962963	65.2173913043
yaaIb0013_246	0.607407407407	30.4347826087
rpsTb0023_32	0.121212121212	47.8260869565
rpsTb0023_69	0.261363636364	52.1739130435
rpsTb0023_166	0.628787878788	69.5652173913
rpsTb0023_177	0.670454545455	56.5217391304
rpsTb0023_201	0.761363636364	47.8260869565
thrAb0002_101	0.0410069021518	78.2608695652
thrAb0002_104	0.0422249289484	69.5652173913
thrAb0002_118	0.0479090539992	56.5217391304
thrAb0002_119	0.0483150629314	56.5217391304
thrAb0002_513	0.208282582217	69.5652173913
thrAb0002_862	0.349979699553	56.5217391304
thrAb0002_1223	0.496548924076	60.8695652174
thrAb0002_1645	0.667884693463	52.1739130435
thrAb0002_2008	0.815265935851	47.8260869565
thrAb0002_2438	0.989849776695	52.1739130435
dapBb0031_18	0.021897810219	78.2608695652
dapBb0031_509	0.619221411192	69.5652173913
dapBb0031_588	0.715328467153	65.2173913043
dapBb0031_614	0.74695863747	56.5217391304
dapBb0031_626	0.761557177616	65.2173913043
lspAb0027_84	0.169696969697	52.1739130435
lspAb0027_93	0.187878787879	52.1739130435
lspAb0027_130	0.262626262626	47.8260869565
lspAb0027_275	0.555555555556	43.4782608696
lspAb0027_342	0.690909090909	69.5652173913
lspAb0027_404	0.816161616162	52.1739130435
lspAb0027_414	0.836363636364	56.5217391304
lspAb0027_419	0.846464646465	56.5217391304
lspAb0027_428	0.864646464646	65.2173913043
lspAb0027_472	0.953535353535	34.7826086957
fkpBb0028_68	0.151111111111	69.5652173913
fkpBb0028_74	0.164444444444	60.8695652174
fkpBb0028_111	0.246666666667	56.5217391304
fkpBb0028_185	0.411111111111	60.8695652174
fkpBb0028_305	0.677777777778	56.5217391304
fkpBb0028_339	0.753333333333	56.5217391304
yaaXb0005_35	0.117845117845	65.2173913043
yaaXb0005_87	0.292929292929	39.1304347826
yaaXb0005_159	0.535353535354	52.1739130435
yaaXb0005_207	0.69696969697	78.2608695652
yaaXb0005_226	0.760942760943	65.2173913043
yaaXb0005_229	0.771043771044	60.8695652174
yaaXb0005_234	0.787878787879	47.8260869565
yaaXb0005_237	0.79797979798	43.4782608696
thrLb0001_38	0.575757575758	56.5217391304
yaaJb0007_17	0.0118798043326	47.8260869565
yaaJb0007_157	0.109713487072	60.8695652174
yaaJb0007_323	0.22571628232	47.8260869565
yaaJb0007_494	0.345213137666	65.2173913043
yaaJb0007_602	0.420684835779	65.2173913043
yaaJb0007_764	0.533892382949	47.8260869565
yaaJb0007_920	0.642907058001	60.8695652174
yaaJb0007_1088	0.760307477289	39.1304347826
yaaJb0007_1212	0.846960167715	60.8695652174
yaaJb0007_1351	0.944095038435	47.8260869565
rihCb0030_18	0.0196721311475	60.8695652174
rihCb0030_77	0.0841530054645	56.5217391304
rihCb0030_181	0.19781420765	78.2608695652
rihCb0030_285	0.311475409836	69.5652173913
rihCb0030_343	0.374863387978	65.2173913043
rihCb0030_409	0.446994535519	52.1739130435
rihCb0030_572	0.625136612022	39.1304347826
rihCb0030_647	0.707103825137	56.5217391304
rihCb0030_735	0.803278688525	47.8260869565
rihCb0030_832	0.909289617486	52.1739130435
dnaJb0015_96	0.0848806366048	69.5652173913
dnaJb0015_398	0.351900972591	52.1739130435
dnaJb0015_484	0.427939876216	56.5217391304
dnaJb0015_545	0.481874447392	69.5652173913
dnaJb0015_638	0.564102564103	60.8695652174
dnaJb0015_760	0.671971706454	52.1739130435
dnaJb0015_786	0.694960212202	52.1739130435
dnaJb0015_890	0.78691423519	56.5217391304
dnaJb0015_939	0.83023872679	69.5652173913
dnaJb0015_1072	0.94783377542	52.1739130435
ribFb0025_33	0.0350318471338	69.5652173913
ribFb0025_39	0.0414012738854	60.8695652174
ribFb0025_194	0.205944798301	60.8695652174
ribFb0025_365	0.387473460722	47.8260869565
ribFb0025_455	0.483014861996	43.4782608696
ribFb0025_562	0.596602972399	65.2173913043
ribFb0025_645	0.684713375796	60.8695652174
ribFb0025_712	0.755838641189	65.2173913043
ribFb0025_810	0.859872611465	43.4782608696
ribFb0025_909	0.964968152866	43.4782608696
mokCb0018_33	0.157142857143	52.1739130435
thrBb0003_18	0.0192926045016	56.5217391304
thrBb0003_19	0.0203644158628	56.5217391304
thrBb0003_158	0.16934619507	56.5217391304
thrBb0003_254	0.272240085745	47.8260869565
thrBb0003_349	0.374062165059	47.8260869565
thrBb0003_532	0.570203644159	60.8695652174
thrBb0003_588	0.630225080386	65.2173913043
thrBb0003_638	0.683815648446	60.8695652174
thrBb0003_702	0.752411575563	60.8695652174
thrBb0003_794	0.851018220793	52.1739130435
dnaKb0014_24	0.0125195618153	52.1739130435
dnaKb0014_89	0.0464267083985	69.5652173913
dnaKb0014_334	0.174230568597	56.5217391304
dnaKb0014_561	0.292644757433	52.1739130435
dnaKb0014_766	0.399582681273	65.2173913043
dnaKb0014_955	0.498174230569	56.5217391304
dnaKb0014_1099	0.573291601461	60.8695652174
dnaKb0014_1254	0.654147104851	65.2173913043
dnaKb0014_1449	0.755868544601	52.1739130435
dnaKb0014_1611	0.840375586854	65.2173913043
yaaWb0011_77	0.107843137255	47.8260869565
yaaWb0011_90	0.126050420168	34.7826086957
yaaWb0011_200	0.280112044818	43.4782608696
yaaWb0011_311	0.435574229692	43.4782608696
yaaWb0011_374	0.52380952381	47.8260869565
yaaWb0011_509	0.712885154062	52.1739130435
yaaWb0011_522	0.731092436975	60.8695652174
yaaWb0011_536	0.750700280112	56.5217391304
yaaWb0011_595	0.833333333333	56.5217391304
yaaWb0011_687	0.96218487395	65.2173913043
nhaAb0019_35	0.0299914310197	47.8260869565
nhaAb0019_101	0.0865467009426	47.8260869565
nhaAb0019_216	0.185089974293	47.8260869565
nhaAb0019_281	0.240788346187	56.5217391304
nhaAb0019_366	0.313624678663	78.2608695652
nhaAb0019_445	0.381319622965	43.4782608696
nhaAb0019_609	0.521850899743	56.5217391304
nhaAb0019_768	0.658097686375	56.5217391304
nhaAb0019_901	0.77206512425	56.5217391304
nhaAb0019_999	0.856041131105	47.8260869565
nhaRb0020_107	0.118101545254	56.5217391304
nhaRb0020_141	0.155629139073	34.7826086957
nhaRb0020_317	0.349889624724	56.5217391304
nhaRb0020_368	0.406181015453	47.8260869565
nhaRb0020_457	0.504415011038	56.5217391304
nhaRb0020_491	0.541942604857	56.5217391304
nhaRb0020_550	0.60706401766	60.8695652174
nhaRb0020_589	0.650110375276	56.5217391304
nhaRb0020_639	0.705298013245	43.4782608696
nhaRb0020_729	0.804635761589	43.4782608696
yaaYb0024_42	0.191780821918	56.5217391304
yaaYb0024_135	0.616438356164	43.4782608696
yaaYb0024_173	0.7899543379	47.8260869565
yaaYb0024_179	0.817351598174	52.1739130435
talBb0008_38	0.0398322851153	69.5652173913
talBb0008_47	0.0492662473795	69.5652173913
talBb0008_268	0.280922431866	56.5217391304
talBb0008_342	0.358490566038	43.4782608696
talBb0008_407	0.426624737945	65.2173913043
talBb0008_468	0.490566037736	60.8695652174
talBb0008_601	0.629979035639	56.5217391304
talBb0008_630	0.660377358491	47.8260869565
talBb0008_720	0.754716981132	69.5652173913
talBb0008_817	0.856394129979	65.2173913043
ispHb0029_21	0.0220820189274	69.5652173913
ispHb0029_22	0.0231335436383	65.2173913043
ispHb0029_38	0.0399579390116	69.5652173913
ispHb0029_126	0.132492113565	56.5217391304
ispHb0029_215	0.226077812829	65.2173913043
ispHb0029_289	0.30389064143	52.1739130435
ispHb0029_333	0.350157728707	47.8260869565
ispHb0029_494	0.51945320715	65.2173913043
ispHb0029_555	0.583596214511	60.8695652174
ispHb0029_626	0.65825446898	60.8695652174
carAb0032_56	0.0487380330722	65.2173913043
carAb0032_110	0.0957354221062	43.4782608696
carAb0032_203	0.176675369887	43.4782608696
carAb0032_276	0.240208877285	47.8260869565
carAb0032_440	0.382941688425	65.2173913043
carAb0032_491	0.427328111401	56.5217391304
carAb0032_571	0.496953872933	56.5217391304
carAb0032_739	0.64316797215	60.8695652174
carAb0032_774	0.67362924282	47.8260869565
carAb0032_1036	0.901653611836	65.2173913043
mogb0009_131	0.222789115646	60.8695652174
mogb0009_231	0.392857142857	73.9130434783
mogb0009_254	0.431972789116	69.5652173913
mogb0009_289	0.491496598639	56.5217391304
mogb0009_334	0.568027210884	56.5217391304
mogb0009_345	0.586734693878	65.2173913043
mogb0009_398	0.676870748299	47.8260869565
mogb0009_479	0.81462585034	56.5217391304
mogb0009_532	0.904761904762	56.5217391304
mogb0009_556	0.945578231293	60.8695652174
satPb0010_62	0.109347442681	47.8260869565
satPb0010_75	0.132275132275	52.1739130435
satPb0010_272	0.479717813051	56.5217391304
satPb0010_280	0.493827160494	47.8260869565
satPb0010_294	0.518518518519	56.5217391304
satPb0010_306	0.539682539683	56.5217391304
satPb0010_539	0.950617283951	56.5217391304
yaaAb0006_19	0.024453024453	47.8260869565
yaaAb0006_73	0.0939510939511	52.1739130435
yaaAb0006_130	0.16731016731	60.8695652174
yaaAb0006_182	0.234234234234	60.8695652174
yaaAb0006_284	0.365508365508	47.8260869565
yaaAb0006_357	0.459459459459	52.1739130435
yaaAb0006_414	0.532818532819	43.4782608696
yaaAb0006_557	0.71685971686	52.1739130435
yaaAb0006_571	0.734877734878	52.1739130435
yaaAb0006_674	0.867438867439	52.1739130435
ileSb0026_21	0.00745473908413	52.1739130435
ileSb0026_920	0.3265885694	56.5217391304
ileSb0026_1058	0.37557685481	73.9130434783
ileSb0026_1406	0.499112531061	60.8695652174
ileSb0026_1582	0.561590344338	47.8260869565
ileSb0026_1784	0.633297834576	69.5652173913
ileSb0026_1995	0.708200212993	47.8260869565
ileSb0026_2244	0.796592119276	52.1739130435
ileSb0026_2483	0.881434149805	60.8695652174
ileSb0026_2786	0.988995385162	52.1739130435
