sgRNAID	sgRNA_position_in_gene	GCcontent
NCgl0056_61	0.0710955710956	60.8695652174
NCgl0056_124	0.144522144522	47.8260869565
NCgl0056_204	0.237762237762	65.2173913043
NCgl0056_278	0.324009324009	56.5217391304
NCgl0056_343	0.399766899767	60.8695652174
NCgl0056_410	0.477855477855	60.8695652174
NCgl0056_495	0.576923076923	52.1739130435
NCgl0056_582	0.678321678322	52.1739130435
NCgl0056_691	0.805361305361	43.4782608696
NCgl0056_751	0.875291375291	56.5217391304
NCgl0032_18	0.0221402214022	52.1739130435
NCgl0032_72	0.0885608856089	65.2173913043
NCgl0032_110	0.135301353014	52.1739130435
NCgl0032_318	0.391143911439	65.2173913043
NCgl0032_428	0.526445264453	73.9130434783
NCgl0032_488	0.60024600246	65.2173913043
NCgl0032_574	0.706027060271	52.1739130435
NCgl0032_671	0.825338253383	56.5217391304
NCgl0032_749	0.921279212792	43.4782608696
NCgl0032_791	0.972939729397	47.8260869565
NCgl0080_5	0.00553709856035	43.4782608696
NCgl0080_6	0.00664451827243	39.1304347826
NCgl0080_99	0.109634551495	47.8260869565
NCgl0080_214	0.236987818383	52.1739130435
NCgl0080_305	0.337763012182	65.2173913043
NCgl0080_377	0.417497231451	60.8695652174
NCgl0080_497	0.550387596899	52.1739130435
NCgl0080_608	0.673311184939	56.5217391304
NCgl0080_705	0.78073089701	39.1304347826
NCgl0080_808	0.894795127353	60.8695652174
NCgl0053_33	0.112244897959	47.8260869565
NCgl0053_51	0.173469387755	47.8260869565
NCgl0053_80	0.272108843537	65.2173913043
NCgl0053_95	0.323129251701	52.1739130435
NCgl0053_112	0.380952380952	56.5217391304
NCgl0053_160	0.544217687075	65.2173913043
NCgl0053_177	0.602040816327	65.2173913043
NCgl0053_189	0.642857142857	56.5217391304
NCgl0053_233	0.792517006803	60.8695652174
NCgl0053_270	0.918367346939	39.1304347826
NCgl0072_55	0.229166666667	60.8695652174
NCgl0072_62	0.258333333333	60.8695652174
NCgl0072_97	0.404166666667	65.2173913043
NCgl0072_124	0.516666666667	65.2173913043
NCgl0072_135	0.5625	69.5652173913
NCgl0072_162	0.675	78.2608695652
NCgl0072_173	0.720833333333	69.5652173913
NCgl0072_188	0.783333333333	60.8695652174
NCgl0072_201	0.8375	56.5217391304
NCgl0072_218	0.908333333333	52.1739130435
NCgl0034_9	0.0130434782609	39.1304347826
NCgl0034_61	0.0884057971014	43.4782608696
NCgl0034_113	0.163768115942	43.4782608696
NCgl0034_152	0.220289855072	56.5217391304
NCgl0034_211	0.305797101449	60.8695652174
NCgl0034_249	0.360869565217	65.2173913043
NCgl0034_388	0.56231884058	60.8695652174
NCgl0034_484	0.701449275362	47.8260869565
NCgl0034_530	0.768115942029	52.1739130435
NCgl0034_589	0.853623188406	39.1304347826
NCgl0051_74	0.0539752005835	65.2173913043
NCgl0051_224	0.163384390956	65.2173913043
NCgl0051_400	0.291757840992	56.5217391304
NCgl0051_568	0.414296134209	65.2173913043
NCgl0051_718	0.523705324581	56.5217391304
NCgl0051_854	0.622902990518	56.5217391304
NCgl0051_957	0.698030634573	65.2173913043
NCgl0051_1055	0.769511305616	52.1739130435
NCgl0051_1177	0.858497447119	47.8260869565
NCgl0051_1296	0.945295404814	47.8260869565
NCgl0068_272	0.41400304414	73.9130434783
NCgl0068_307	0.467275494673	47.8260869565
NCgl0068_313	0.476407914764	56.5217391304
NCgl0068_336	0.511415525114	60.8695652174
NCgl0068_351	0.534246575342	60.8695652174
NCgl0068_357	0.543378995434	65.2173913043
NCgl0068_378	0.575342465753	43.4782608696
NCgl0068_390	0.593607305936	43.4782608696
NCgl0068_405	0.616438356164	60.8695652174
NCgl0068_432	0.657534246575	65.2173913043
NCgl0050_101	0.105538140021	65.2173913043
NCgl0050_170	0.177638453501	56.5217391304
NCgl0050_245	0.256008359457	65.2173913043
NCgl0050_323	0.337513061651	69.5652173913
NCgl0050_381	0.398119122257	52.1739130435
NCgl0050_447	0.467084639498	69.5652173913
NCgl0050_527	0.550679205852	65.2173913043
NCgl0050_573	0.598746081505	56.5217391304
NCgl0050_645	0.673981191223	73.9130434783
NCgl0050_702	0.733542319749	56.5217391304
NCgl0078_26	0.0280474649407	56.5217391304
NCgl0078_27	0.0291262135922	52.1739130435
NCgl0078_128	0.1380798274	69.5652173913
NCgl0078_223	0.240560949299	56.5217391304
NCgl0078_319	0.344120819849	56.5217391304
NCgl0078_453	0.488673139159	47.8260869565
NCgl0078_588	0.63430420712	56.5217391304
NCgl0078_688	0.742179072276	56.5217391304
NCgl0078_759	0.818770226537	56.5217391304
NCgl0078_854	0.921251348436	65.2173913043
NCgl0039_4	0.014652014652	34.7826086957
NCgl0039_32	0.117216117216	60.8695652174
NCgl0039_51	0.186813186813	73.9130434783
NCgl0039_70	0.25641025641	56.5217391304
NCgl0039_89	0.326007326007	56.5217391304
NCgl0039_97	0.355311355311	43.4782608696
NCgl0039_125	0.457875457875	60.8695652174
NCgl0039_146	0.534798534799	43.4782608696
NCgl0039_165	0.604395604396	65.2173913043
NCgl0039_184	0.673992673993	52.1739130435
NCgl0038_11	0.0133333333333	56.5217391304
NCgl0038_158	0.191515151515	52.1739130435
NCgl0038_227	0.275151515152	52.1739130435
NCgl0038_285	0.345454545455	60.8695652174
NCgl0038_349	0.42303030303	56.5217391304
NCgl0038_419	0.507878787879	47.8260869565
NCgl0038_502	0.608484848485	60.8695652174
NCgl0038_569	0.689696969697	52.1739130435
NCgl0038_648	0.785454545455	69.5652173913
NCgl0038_725	0.878787878788	52.1739130435
NCgl0077_26	0.0463458110517	65.2173913043
NCgl0077_32	0.0570409982175	65.2173913043
NCgl0077_79	0.140819964349	56.5217391304
NCgl0077_149	0.26559714795	56.5217391304
NCgl0077_212	0.377896613191	56.5217391304
NCgl0077_282	0.502673796791	73.9130434783
NCgl0077_355	0.632798573975	65.2173913043
NCgl0077_418	0.745098039216	56.5217391304
NCgl0077_481	0.857397504456	65.2173913043
NCgl0077_525	0.935828877005	52.1739130435
NCgl0058_20	0.0280112044818	43.4782608696
NCgl0058_50	0.0700280112045	56.5217391304
NCgl0058_131	0.183473389356	65.2173913043
NCgl0058_221	0.309523809524	56.5217391304
NCgl0058_294	0.411764705882	56.5217391304
NCgl0058_377	0.528011204482	56.5217391304
NCgl0058_444	0.621848739496	60.8695652174
NCgl0058_497	0.696078431373	47.8260869565
NCgl0058_602	0.843137254902	56.5217391304
NCgl0058_689	0.964985994398	52.1739130435
NCgl0071_5	0.00497512437811	65.2173913043
NCgl0071_11	0.0109452736318	69.5652173913
NCgl0071_29	0.028855721393	65.2173913043
NCgl0071_32	0.0318407960199	60.8695652174
NCgl0071_38	0.0378109452736	47.8260869565
NCgl0071_39	0.0388059701493	47.8260869565
NCgl0071_135	0.134328358209	56.5217391304
NCgl0071_399	0.397014925373	52.1739130435
NCgl0071_668	0.664676616915	65.2173913043
NCgl0071_934	0.929353233831	47.8260869565
NCgl0070_11	0.025462962963	60.8695652174
NCgl0070_21	0.0486111111111	65.2173913043
NCgl0070_56	0.12962962963	52.1739130435
NCgl0070_89	0.206018518519	60.8695652174
NCgl0070_127	0.293981481481	56.5217391304
NCgl0070_173	0.400462962963	56.5217391304
NCgl0070_220	0.509259259259	60.8695652174
NCgl0070_282	0.652777777778	56.5217391304
NCgl0070_335	0.775462962963	43.4782608696
NCgl0070_391	0.905092592593	52.1739130435
NCgl0059_4	0.0024154589372	43.4782608696
NCgl0059_42	0.0253623188406	56.5217391304
NCgl0059_48	0.0289855072464	52.1739130435
NCgl0059_59	0.0356280193237	60.8695652174
NCgl0059_200	0.12077294686	52.1739130435
NCgl0059_506	0.305555555556	47.8260869565
NCgl0059_794	0.479468599034	52.1739130435
NCgl0059_1080	0.652173913043	47.8260869565
NCgl0059_1375	0.830314009662	60.8695652174
NCgl0059_1623	0.980072463768	60.8695652174
NCgl0027_20	0.0234741784038	47.8260869565
NCgl0027_21	0.0246478873239	43.4782608696
NCgl0027_31	0.0363849765258	39.1304347826
NCgl0027_68	0.0798122065728	56.5217391304
NCgl0027_167	0.196009389671	60.8695652174
NCgl0027_278	0.326291079812	60.8695652174
NCgl0027_406	0.476525821596	47.8260869565
NCgl0027_531	0.62323943662	56.5217391304
NCgl0027_635	0.745305164319	60.8695652174
NCgl0027_758	0.889671361502	60.8695652174
NCgl0031_9	0.011811023622	47.8260869565
NCgl0031_21	0.0275590551181	43.4782608696
NCgl0031_32	0.0419947506562	43.4782608696
NCgl0031_51	0.0669291338583	52.1739130435
NCgl0031_135	0.177165354331	56.5217391304
NCgl0031_236	0.309711286089	60.8695652174
NCgl0031_324	0.425196850394	47.8260869565
NCgl0031_414	0.543307086614	65.2173913043
NCgl0031_509	0.667979002625	65.2173913043
NCgl0031_606	0.795275590551	65.2173913043
NCgl0030_50	0.0487329434698	60.8695652174
NCgl0030_86	0.083820662768	43.4782608696
NCgl0030_170	0.165692007797	60.8695652174
NCgl0030_288	0.280701754386	65.2173913043
NCgl0030_414	0.40350877193	43.4782608696
NCgl0030_535	0.521442495127	43.4782608696
NCgl0030_683	0.665692007797	65.2173913043
NCgl0030_804	0.783625730994	56.5217391304
NCgl0030_902	0.879142300195	43.4782608696
NCgl0030_966	0.941520467836	47.8260869565
NCgl0033_62	0.108202443281	52.1739130435
NCgl0033_120	0.20942408377	65.2173913043
NCgl0033_167	0.291448516579	56.5217391304
NCgl0033_211	0.368237347295	47.8260869565
NCgl0033_261	0.455497382199	69.5652173913
NCgl0033_345	0.602094240838	65.2173913043
NCgl0033_378	0.659685863874	65.2173913043
NCgl0033_418	0.729493891798	60.8695652174
NCgl0033_446	0.778359511344	56.5217391304
NCgl0033_503	0.877835951134	60.8695652174
NCgl0025_11	0.00858704137393	47.8260869565
NCgl0025_38	0.0296643247463	60.8695652174
NCgl0025_41	0.032006245121	60.8695652174
NCgl0025_51	0.03981264637	65.2173913043
NCgl0025_437	0.341139734582	52.1739130435
NCgl0025_569	0.444184231069	69.5652173913
NCgl0025_705	0.550351288056	69.5652173913
NCgl0025_837	0.653395784543	60.8695652174
NCgl0025_980	0.765027322404	69.5652173913
NCgl0025_1135	0.886026541764	47.8260869565
NCgl0035_5	0.00500500500501	60.8695652174
NCgl0035_37	0.037037037037	47.8260869565
NCgl0035_38	0.038038038038	43.4782608696
NCgl0035_101	0.101101101101	60.8695652174
NCgl0035_241	0.241241241241	43.4782608696
NCgl0035_386	0.386386386386	47.8260869565
NCgl0035_518	0.518518518519	47.8260869565
NCgl0035_616	0.616616616617	69.5652173913
NCgl0035_737	0.737737737738	43.4782608696
NCgl0035_873	0.873873873874	73.9130434783
NCgl0002_20	0.0168776371308	65.2173913043
NCgl0002_24	0.020253164557	69.5652173913
NCgl0002_32	0.0270042194093	65.2173913043
NCgl0002_50	0.042194092827	78.2608695652
NCgl0002_59	0.0497890295359	73.9130434783
NCgl0002_83	0.0700421940928	56.5217391304
NCgl0002_342	0.288607594937	52.1739130435
NCgl0002_570	0.481012658228	52.1739130435
NCgl0002_833	0.702953586498	69.5652173913
NCgl0002_1065	0.898734177215	65.2173913043
NCgl0037_209	0.267948717949	52.1739130435
NCgl0037_249	0.319230769231	65.2173913043
NCgl0037_309	0.396153846154	52.1739130435
NCgl0037_386	0.494871794872	52.1739130435
NCgl0037_429	0.55	69.5652173913
NCgl0037_501	0.642307692308	52.1739130435
NCgl0037_572	0.733333333333	43.4782608696
NCgl0037_615	0.788461538462	65.2173913043
NCgl0037_661	0.847435897436	43.4782608696
NCgl0037_729	0.934615384615	65.2173913043
NCgl0036_211	0.220480668757	60.8695652174
NCgl0036_269	0.281086729363	60.8695652174
NCgl0036_320	0.334378265413	60.8695652174
NCgl0036_395	0.412748171369	69.5652173913
NCgl0036_515	0.538140020899	73.9130434783
NCgl0036_548	0.572622779519	47.8260869565
NCgl0036_606	0.633228840125	52.1739130435
NCgl0036_716	0.748171368861	69.5652173913
NCgl0036_782	0.817136886102	69.5652173913
NCgl0036_886	0.925809822362	60.8695652174
NCgl0013_8	0.0231884057971	56.5217391304
NCgl0013_9	0.0260869565217	52.1739130435
NCgl0013_37	0.107246376812	56.5217391304
NCgl0013_71	0.205797101449	65.2173913043
NCgl0013_111	0.321739130435	47.8260869565
NCgl0013_188	0.544927536232	65.2173913043
NCgl0013_218	0.631884057971	60.8695652174
NCgl0013_248	0.71884057971	60.8695652174
NCgl0013_265	0.768115942029	39.1304347826
NCgl0013_300	0.869565217391	56.5217391304
NCgl0012_17	0.00661221314664	47.8260869565
NCgl0012_30	0.0116686114352	43.4782608696
NCgl0012_40	0.0155581485803	34.7826086957
NCgl0012_114	0.0443407234539	73.9130434783
NCgl0012_115	0.0447296771684	69.5652173913
NCgl0012_186	0.0723453908985	65.2173913043
NCgl0012_728	0.283158304162	78.2608695652
NCgl0012_1244	0.483858420848	65.2173913043
NCgl0012_1794	0.697782963827	60.8695652174
NCgl0012_2373	0.922987164527	56.5217391304
NCgl0011_4	0.0160642570281	43.4782608696
NCgl0011_5	0.0200803212851	39.1304347826
NCgl0011_6	0.0240963855422	34.7826086957
