gene_name	gene_length	sgRNA_number_in_gene
thrCb0004	1287	10
yaaIb0013	405	6
rpsTb0023	264	5
thrAb0002	2463	10
dapBb0031	822	5
hokCb4412	153	0
lspAb0027	495	10
insB1b0021	504	0
fkpBb0028	450	6
yaaXb0005	297	8
thrLb0001	66	1
yaaJb0007	1431	10
rihCb0030	915	10
dnaJb0015	1131	10
ribFb0025	942	10
insL1b0016	1113	0
mokCb0018	210	1
thrBb0003	933	10
dnaKb0014	1917	10
yaaWb0011	714	10
nhaAb0019	1167	10
nhaRb0020	906	10
yaaYb0024	219	4
talBb0008	954	10
ispHb0029	951	10
carAb0032	1149	10
mogb0009	588	10
satPb0010	567	7
yaaAb0006	777	10
insAb0022	276	0
ileSb0026	2817	10
